iter	RMSE
0	14.79752696
1	14.42883997
2	14.05029607
3	13.68689867
4	13.34102414
5	13.04841836
6	12.74537533
7	12.44571524
8	12.18464172
9	11.90587145
10	11.62209631
11	11.37860624
12	11.16496083
13	10.92098383
14	10.69229266
15	10.44604507
16	10.22596973
17	10.00752776
18	9.800553299
19	9.603335282
20	9.430272989
21	9.254953749
22	9.082550798
23	8.916243838
24	8.763860181
25	8.633909101
26	8.489700132
27	8.354253176
28	8.219271707
29	8.106102089
30	7.995140972
31	7.8921527
32	7.793293811
33	7.695431145
34	7.595587277
35	7.503526488
36	7.422021639
37	7.334978411
38	7.246098161
39	7.170887049
40	7.08787741
41	7.015139535
42	6.942449516
43	6.884772813
44	6.816791448
45	6.748998919
46	6.689176671
47	6.649041108
48	6.588750838
49	6.533278779
50	6.479233047
51	6.427811601
52	6.373482703
53	6.322821579
54	6.280476153
55	6.234478392
56	6.197761365
57	6.163452287
58	6.124294767
59	6.08714814
60	6.045836596
61	6.011044014
62	5.980329015
63	5.954839307
64	5.922784711
65	5.890738873
66	5.86391263
67	5.835773653
68	5.809974965
69	5.785607431
70	5.76323431
71	5.743280578
72	5.724332956
73	5.703756573
74	5.684757333
75	5.665004748
76	5.643762983
77	5.623500108
78	5.605840995
79	5.593031194
80	5.579667454
81	5.561701511
82	5.543129671
83	5.525410386
84	5.516313529
85	5.500828044
86	5.484899885
87	5.467614772
88	5.45811575
89	5.443620204
90	5.425263245
91	5.416057687
92	5.404802856
93	5.394330408
94	5.383006687
95	5.370038532
96	5.359904354
97	5.350900089
98	5.342916446
99	5.32920574
100	5.32286557
101	5.313097287
102	5.30544279
103	5.294316149
104	5.285187637
105	5.27715022
106	5.266798673
107	5.257835733
108	5.249276103
109	5.241281382
110	5.232315203
111	5.225778233
112	5.21976839
113	5.212655323
114	5.206899751
115	5.203948013
116	5.197889286
117	5.19238647
118	5.188529097
119	5.178584122
120	5.171942873
121	5.168855412
122	5.165666505
123	5.159142671
124	5.154672502
125	5.150014088
126	5.142261091
127	5.133800763
128	5.126618559
129	5.120513037
130	5.119247888
131	5.113976593
132	5.10491551
133	5.099930776
134	5.097386871
135	5.093890156
136	5.090716513
137	5.086427491
138	5.083365921
139	5.077447399
140	5.075268025
141	5.071888594
142	5.068308674
143	5.066051493
144	5.060161769
145	5.057394346
146	5.053508929
147	5.048357794
148	5.041512209
149	5.034840836
150	5.030835214
151	5.024248475
152	5.020666086
153	5.0163251
154	5.011728476
155	5.006536721
156	5.00115194
157	4.994665334
158	4.991457956
159	4.988827622
160	4.985623113
161	4.98011696
162	4.976013135
163	4.973827746
