iter	Passed	Remaining
0	138	138629
1	141	70458
2	143	47748
3	146	36377
4	148	29570
5	150	24980
6	153	21728
7	155	19293
8	157	17372
9	159	15833
10	162	14570
11	164	13535
12	166	12661
13	168	11895
14	170	11221
15	172	10628
16	174	10094
17	175	9600
18	177	9160
19	178	8757
20	179	8384
21	180	8044
22	182	7731
23	183	7449
24	184	7180
25	185	6930
26	185	6700
27	186	6484
28	187	6285
29	188	6104
30	189	5931
31	190	5772
32	191	5624
33	193	5486
34	194	5351
35	195	5222
36	195	5100
37	196	4986
38	198	4878
39	199	4776
40	200	4678
41	200	4584
42	202	4499
43	203	4414
44	204	4331
45	205	4254
46	206	4182
47	206	4099
48	207	4029
49	208	3962
50	209	3897
51	210	3832
52	211	3770
53	211	3711
54	212	3657
55	213	3604
56	214	3552
57	215	3501
58	216	3450
59	217	3407
60	218	3361
61	219	3316
62	220	3273
63	220	3230
64	221	3189
65	222	3148
66	223	3108
67	224	3070
68	224	3033
69	225	2997
70	226	2961
71	227	2928
72	227	2894
73	228	2864
74	229	2833
75	230	2803
76	231	2774
77	232	2747
78	233	2719
79	234	2691
80	234	2664
81	235	2638
82	236	2613
83	237	2587
84	237	2561
85	238	2538
86	239	2514
87	240	2491
88	241	2468
89	241	2446
90	242	2424
91	243	2402
92	244	2382
93	245	2363
94	246	2344
95	246	2324
96	247	2304
97	248	2286
98	249	2267
99	249	2249
100	250	2232
101	251	2214
102	252	2197
103	253	2180
104	253	2164
105	254	2148
106	255	2132
107	256	2117
108	257	2101
109	257	2087
110	259	2074
111	259	2060
112	260	2046
113	261	2032
114	262	2018
115	262	2003
116	263	1990
117	264	1977
118	265	1963
119	265	1950
120	266	1938
121	267	1925
122	268	1911
123	268	1899
124	269	1888
125	270	1876
126	271	1865
127	272	1854
128	273	1843
129	273	1833
130	274	1820
131	275	1810
132	276	1799
133	276	1789
134	277	1777
135	278	1767
136	278	1757
137	279	1747
138	280	1737
139	281	1728
140	282	1719
141	282	1709
142	283	1700
143	284	1691
144	285	1682
145	286	1674
146	287	1667
147	288	1659
148	289	1652
149	290	1644
150	291	1636
151	291	1628
152	292	1619
153	293	1611
154	294	1603
155	294	1595
156	295	1587
157	296	1580
158	297	1572
159	298	1564
160	298	1557
161	299	1550
162	300	1542
163	301	1535
164	301	1528
165	302	1521
166	303	1514
167	304	1507
168	305	1501
169	306	1494
170	307	1488
171	307	1482
172	308	1475
173	309	1469
174	310	1462
175	310	1455
176	311	1449
177	312	1442
178	313	1437
179	314	1431
180	315	1427
181	316	1423
182	317	1419
183	319	1415
184	319	1409
185	320	1403
186	321	1398
187	322	1392
188	323	1386
189	324	1381
190	324	1376
191	325	1370
192	326	1365
193	327	1360
194	328	1355
195	329	1350
196	330	1345
197	330	1340
198	331	1335
199	332	1329
200	333	1324
201	334	1319
202	334	1314
203	335	1309
204	336	1304
205	337	1299
206	337	1294
207	338	1289
208	339	1284
209	340	1279
210	340	1275
211	341	1271
212	342	1266
213	343	1262
214	344	1257
215	345	1252
216	345	1248
217	346	1243
218	347	1239
219	348	1235
220	349	1230
221	350	1226
222	350	1222
223	351	1217
224	352	1213
225	353	1209
226	353	1205
227	354	1201
228	355	1197
229	356	1193
230	357	1189
231	358	1185
232	358	1181
233	359	1177
234	360	1172
235	361	1169
236	361	1165
237	362	1161
238	363	1157
239	364	1153
240	365	1149
241	365	1145
242	366	1142
243	367	1138
244	368	1135
245	369	1131
246	370	1128
247	370	1124
248	371	1121
249	372	1117
250	373	1113
251	374	1110
252	374	1106
253	375	1103
254	376	1099
255	377	1096
256	378	1093
257	378	1089
258	379	1086
259	380	1083
260	381	1079
261	382	1076
262	383	1073
263	383	1070
264	384	1066
265	385	1063
266	386	1060
267	387	1057
268	387	1054
269	388	1051
270	389	1047
271	390	1044
272	391	1041
273	391	1038
274	392	1035
275	393	1032
276	394	1028
277	394	1025
278	395	1022
279	396	1019
280	397	1016
281	398	1013
282	399	1010
283	399	1008
284	400	1005
285	401	1002
286	402	999
287	403	996
288	403	993
289	404	990
290	405	987
291	406	985
292	407	982
293	408	979
294	408	976
295	409	974
296	410	971
297	411	968
298	412	966
299	412	963
300	413	960
301	414	958
302	415	955
303	416	952
304	416	950
305	417	947
306	418	944
307	419	942
308	420	939
309	421	937
310	421	934
311	422	932
312	423	929
313	424	926
314	425	924
315	426	922
316	426	919
317	427	917
318	428	914
319	429	912
320	430	910
321	431	907
322	431	905
323	432	902
324	433	900
325	434	898
326	435	895
327	436	893
328	436	890
329	437	888
330	438	886
331	439	884
332	441	883
333	441	880
334	442	878
335	443	876
336	444	873
337	445	871
338	445	869
339	446	866
340	447	864
341	448	862
342	448	859
343	449	857
344	450	855
345	451	853
346	452	851
347	453	848
348	453	846
349	454	844
350	455	842
351	456	840
352	457	837
353	457	835
354	458	833
355	459	831
356	460	828
357	460	826
358	461	824
359	462	822
360	463	820
361	464	818
362	464	815
363	465	814
364	466	812
365	467	810
366	468	807
367	469	805
368	470	803
369	470	801
370	471	799
371	472	797
372	473	795
373	474	793
374	474	791
375	475	789
376	476	787
377	477	785
378	478	783
379	478	781
380	479	779
381	480	777
382	481	775
383	482	773
384	482	771
385	483	769
386	484	767
387	485	765
388	486	763
389	486	761
390	487	759
391	488	757
392	489	755
393	490	753
394	490	751
395	491	750
396	492	748
397	493	746
398	494	744
399	495	742
400	495	740
401	496	738
402	497	736
403	498	735
404	499	733
405	499	731
406	500	729
407	501	727
408	502	725
409	503	723
410	503	722
411	504	720
412	505	718
413	506	716
414	507	714
415	508	713
416	508	711
417	509	709
418	510	707
419	511	706
420	512	704
421	512	702
422	513	700
423	514	698
424	515	697
425	516	695
426	516	693
427	517	691
428	518	690
429	519	688
430	520	686
431	520	684
432	521	683
433	522	681
434	523	679
435	524	678
436	525	676
437	525	674
438	526	673
439	527	671
440	528	669
441	529	667
442	529	666
443	530	664
444	531	662
445	532	661
446	533	659
447	534	658
448	535	656
449	536	655
450	536	653
451	537	651
452	538	650
453	539	648
454	540	647
455	541	645
456	542	644
457	543	642
458	543	641
459	544	639
460	545	637
461	546	636
462	547	634
463	548	633
464	549	631
465	549	630
466	550	628
467	551	627
468	552	625
469	553	624
470	554	622
471	555	621
472	556	619
473	557	618
474	557	616
475	558	614
476	559	613
477	560	612
478	561	610
479	562	609
480	563	607
481	564	606
482	565	604
483	565	603
484	566	601
485	567	600
486	568	598
487	569	597
488	570	595
489	570	594
490	571	592
491	572	591
492	573	589
493	574	587
494	574	586
495	575	584
496	576	583
497	577	582
498	578	580
499	579	579
500	580	577
501	580	576
502	581	574
503	582	573
504	583	571
505	584	570
506	585	569
507	586	567
508	586	566
509	587	564
510	588	563
511	589	562
512	590	560
513	591	559
514	592	558
515	593	556
516	594	555
517	595	553
518	596	552
519	597	551
520	598	549
