iter	Passed	Remaining
0	151	151531
1	152	76332
2	154	51410
3	157	39274
4	158	31618
5	160	26509
6	161	22879
7	162	20183
8	164	18076
9	165	16359
10	166	14961
11	169	13954
12	171	13014
13	173	12199
14	174	11475
15	175	10818
16	177	10246
17	178	9728
18	179	9282
19	182	8943
20	184	8579
21	185	8235
22	186	7917
23	187	7631
24	188	7369
25	190	7134
26	191	6909
27	192	6695
28	195	6558
29	198	6411
30	199	6243
31	201	6081
32	202	5922
33	203	5773
34	204	5632
35	205	5500
36	206	5376
37	208	5274
38	210	5194
39	212	5088
40	213	4998
41	214	4901
42	216	4809
43	217	4716
44	218	4630
45	219	4547
46	221	4489
47	224	4453
48	225	4381
49	226	4308
50	227	4237
51	228	4169
52	229	4103
53	230	4040
54	231	3979
55	232	3920
56	233	3864
57	234	3809
58	235	3762
59	238	3731
60	240	3696
61	241	3649
62	242	3604
63	243	3561
64	244	3520
65	245	3479
66	246	3438
67	248	3399
68	249	3359
69	250	3326
70	253	3315
71	254	3280
72	255	3244
73	256	3211
74	257	3180
75	258	3148
76	259	3116
77	260	3084
78	261	3053
79	262	3023
80	263	2993
81	265	2971
82	266	2947
83	267	2920
84	268	2894
85	270	2870
86	271	2845
87	272	2822
88	273	2798
89	274	2775
90	275	2752
91	276	2730
92	277	2709
93	279	2693
94	282	2694
95	284	2674
96	285	2655
97	286	2635
98	287	2615
99	288	2597
100	289	2579
101	290	2561
102	292	2543
103	294	2541
104	297	2539
105	299	2522
106	300	2506
107	301	2489
108	302	2476
109	304	2460
110	305	2444
111	306	2429
112	307	2416
113	311	2424
114	313	2410
115	314	2396
116	315	2380
117	316	2366
118	317	2352
119	318	2339
120	320	2326
121	321	2312
122	323	2304
123	325	2300
124	327	2291
125	328	2279
126	329	2268
127	331	2255
128	332	2244
129	333	2231
130	334	2220
131	335	2209
132	337	2197
133	339	2194
134	342	2192
135	343	2181
136	344	2169
137	345	2159
138	346	2148
139	347	2137
140	349	2127
141	350	2114
142	351	2105
143	352	2096
144	354	2092
145	356	2087
146	358	2078
147	359	2068
148	360	2058
149	361	2049
150	362	2040
151	364	2031
152	365	2021
153	366	2012
154	369	2013
155	371	2010
156	372	2001
157	374	1993
158	375	1984
159	376	1976
160	377	1966
161	378	1957
162	379	1949
163	380	1941
164	382	1937
165	385	1934
166	386	1927
167	387	1919
168	388	1911
169	390	1905
170	391	1898
171	392	1890
172	393	1882
173	394	1874
174	395	1866
175	398	1866
176	400	1863
177	401	1856
178	403	1851
179	404	1844
180	406	1837
181	407	1830
182	408	1823
183	409	1816
184	411	1812
185	415	1817
186	416	1811
187	417	1804
188	418	1797
189	420	1790
190	421	1784
191	422	1777
192	423	1771
193	424	1764
194	427	1763
195	429	1763
196	431	1757
197	432	1750
198	433	1744
199	434	1737
200	435	1732
201	436	1725
202	438	1719
203	439	1714
204	441	1710
205	442	1706
206	444	1702
207	445	1697
208	446	1690
209	447	1684
210	448	1678
211	450	1672
212	451	1667
213	452	1662
214	453	1656
215	455	1653
216	458	1654
217	459	1648
218	460	1642
219	461	1636
220	462	1630
221	463	1624
222	464	1618
223	465	1612
224	466	1606
225	467	1601
226	468	1596
227	470	1593
228	474	1596
229	475	1591
230	476	1585
231	477	1580
232	478	1575
233	480	1571
234	482	1569
235	487	1578
236	489	1575
237	491	1572
238	492	1568
239	494	1565
240	495	1561
241	497	1557
242	504	1571
243	506	1568
244	507	1565
245	509	1562
246	511	1559
247	514	1559
248	520	1571
249	523	1569
250	524	1566
251	527	1565
252	534	1577
253	537	1578
254	540	1579
255	542	1576
256	546	1581
257	550	1584
258	552	1581
259	554	1577
260	555	1573
261	562	1585
262	564	1582
263	565	1577
264	567	1573
265	568	1568
266	569	1563
267	570	1558
268	571	1554
269	573	1550
270	576	1549
271	577	1545
272	578	1541
273	579	1536
274	581	1531
275	582	1527
276	583	1522
277	584	1517
278	586	1514
279	592	1522
280	594	1522
281	596	1519
282	598	1516
283	600	1513
284	601	1509
285	605	1512
286	608	1510
287	609	1506
288	611	1505
289	613	1502
290	614	1498
291	618	1500
292	620	1497
293	622	1495
294	624	1491
295	625	1487
296	626	1483
297	628	1480
298	629	1476
299	631	1474
300	635	1476
301	638	1474
302	639	1470
303	640	1467
304	641	1462
305	643	1459
306	644	1454
307	647	1454
308	653	1461
309	655	1458
310	656	1454
311	657	1450
312	659	1446
313	661	1444
314	664	1444
315	666	1441
316	667	1437
317	668	1433
318	669	1429
319	670	1425
320	671	1421
321	673	1417
322	676	1417
323	679	1417
324	681	1415
325	683	1413
326	685	1410
327	686	1406
328	687	1402
329	690	1402
330	694	1404
331	695	1400
332	697	1396
333	698	1393
334	700	1389
335	701	1385
336	702	1381
337	704	1380
338	708	1382
339	710	1378
340	711	1375
341	713	1372
342	714	1368
343	715	1364
344	717	1361
345	718	1357
346	722	1359
347	724	1357
348	726	1354
349	727	1351
350	729	1348
351	730	1345
352	731	1341
353	736	1343
354	739	1342
355	740	1339
356	741	1335
357	742	1332
358	744	1328
359	745	1325
360	746	1321
361	748	1319
362	752	1321
363	754	1318
364	755	1314
365	757	1311
366	758	1307
367	759	1304
368	760	1300
369	762	1298
370	763	1295
371	765	1291
372	768	1291
373	769	1287
374	770	1283
375	771	1280
376	772	1276
377	773	1272
378	774	1269
379	775	1265
380	777	1262
381	780	1261
382	781	1258
383	782	1255
384	783	1251
385	784	1248
386	786	1245
387	787	1241
388	788	1237
389	789	1234
390	790	1231
391	793	1230
392	794	1227
393	796	1224
394	797	1221
395	798	1218
396	799	1215
397	801	1211
398	802	1208
399	803	1205
400	804	1201
401	807	1201
402	809	1199
403	810	1196
404	812	1193
405	813	1189
406	814	1186
407	815	1182
408	816	1179
409	817	1176
410	818	1172
411	819	1169
412	821	1167
413	824	1167
414	826	1164
415	827	1161
416	828	1158
417	829	1155
418	831	1152
419	832	1149
420	833	1146
421	834	1143
422	836	1140
423	838	1139
424	839	1136
425	841	1133
426	842	1130
427	843	1126
428	844	1123
429	845	1120
430	846	1117
431	847	1114
432	849	1111
433	852	1111
434	855	1110
435	856	1107
436	857	1104
437	858	1101
438	859	1098
439	860	1095
440	861	1092
441	863	1089
442	866	1090
443	869	1088
444	870	1085
445	871	1082
446	872	1079
447	874	1077
448	875	1073
449	875	1070
450	876	1067
451	877	1064
452	879	1062
453	882	1060
454	883	1057
455	884	1054
456	885	1051
457	886	1048
458	887	1045
459	888	1042
460	889	1039
461	890	1036
462	891	1034
463	892	1031
464	895	1030
465	898	1029
466	899	1026
467	900	1023
468	901	1020
469	902	1018
